#separator:tab
#html:true
#columns:Word	Example	Translation	TranslationExample	Tags
#tags column:5

component	Dit <b>component</b> werkt al goed op het instellingenscherm van de app.	компонент (de component)	Этот компонент уже хорошо работает на экране настроек приложения.	werk::refinement::A2
componenten	Er is een hele waslijst aan <b>componenten</b> die naar de bibliotheek moet.	компоненты (мн.ч.)	Есть целый список компонентов, которые нужно перенести в библиотеку.	werk::refinement::A2
kan	Ik <b>kan</b> toch geen situatie bedenken zonder een label erbij.	могу (1е л. ед.ч., наст. вр.)	Я всё равно не могу представить ситуацию без надписи.	werk::refinement::A2
kunnen	We <b>kunnen</b> heel veel verschillende kleuren hebben.	можем (1е л. мн.ч., наст. вр.)	У нас может быть куча разных цветов.	werk::refinement::A2
kunt	Je <b>kunt</b> toch zelf kiezen welke kleur je wilt, hoor.	можешь (2е л. ед.ч.; je kunt, но: kun je?)	Ты ведь можешь сам выбрать, какой цвет хочешь.	werk::refinement::A2
kon	Vorige sprint <b>kon</b> ik maar één onderdeel afwerken.	мог (1е л. ед.ч., прош. вр.)	В прошлом спринте я смог закончить только одну часть.	werk::refinement::A2
moet	Dit <b>moet</b> echt nog even goed bekeken worden, hoor.	должен (3е л. ед.ч., наст. вр.)	Это реально надо ещё раз нормально проверить.	werk::refinement::A2
moeten	We <b>moeten</b> toch even nadenken of dit goed genoeg is.	должны (1е л. мн.ч., наст. вр.)	Нам всё-таки стоит подумать, достаточно ли это хорошо.	werk::refinement::A2
goed	De code is <b>goed</b> genoeg, we hoeven het niet perfect te maken.	хороший, хорошо	Код достаточно хорош, не нужно вылизывать до идеала.	werk::refinement::A2
beter	Dan kun je <b>beter</b> tien onderdelen opleveren dan één complexe.	лучше (сравн. степ.)	Тогда лучше сдать десять компонентов, чем один сложный.	werk::refinement::A2
goede	Hebben we al een <b>goede</b> oplossing hiervoor binnen het bedrijf?	хорошая (прил., de-woord)	У нас в компании уже есть нормальное решение для этого?	werk::refinement::A2
best	Het is <b>best</b> een complex onderdeel in de app.	довольно, весьма	Это довольно сложный компонент в приложении.	werk::refinement::A2
