#separator:tab
#html:true
#columns:Word	Example	Translation	TranslationExample	Tags
#tags column:5
Engels	Mijn collega spreekt vloeiend Engels en geeft soms presentaties voor het team.	английский (язык)	Мой коллега свободно говорит по-английски и иногда делает презентации для команды.	opmaat::thema9::woordenlijst::A2
enthousiast	Ze is heel enthousiast over haar nieuwe bijbaan bij het theater.	восторженный, увлечённый	Она очень увлечена своей новой подработкой в театре.	opmaat::thema9::woordenlijst::A2
eventueel	Ik kan eventueel morgen na mijn werkdag langskomen.	возможно, при необходимости	Я, возможно, могу зайти завтра после рабочего дня.	opmaat::thema9::woordenlijst::A2
de faculteit	Op welke faculteit van de universiteit studeer je?	факультет	На каком факультете университета ты учишься?	opmaat::thema9::woordenlijst::A2
de fietsenmaker	De fietsenmaker in onze buurt repareert mijn fiets altijd snel.	велосипедный мастер	Велосипедный мастер в нашем районе всегда быстро чинит мой велосипед.	opmaat::thema9::woordenlijst::A2
flexibel	Een goede manager moet flexibel zijn en zich snel aanpassen.	гибкий	Хороший менеджер должен быть гибким и быстро адаптироваться.	opmaat::thema9::woordenlijst::A2
het fotomodel	Het fotomodel werkt regelmatig voor internationale tijdschriften.	фотомодель	Фотомодель регулярно работает для международных журналов.	opmaat::thema9::woordenlijst::A2
Frans	Op de middelbare school had ik Frans en Duits als vreemde talen.	французский (язык)	В средней школе у меня были французский и немецкий как иностранные языки.	opmaat::thema9::woordenlijst::A2
fulltime	Ze werkt fulltime bij een groot bedrijf en verdient goed.	на полную ставку	Она работает на полной ставке в большой компании и хорошо зарабатывает.	opmaat::thema9::woordenlijst::A2
de fysiotherapeut	De fysiotherapeut helpt sporters na een blessure weer fit te worden.	физиотерапевт	Физиотерапевт помогает спортсменам восстановиться после травмы.	opmaat::thema9::woordenlijst::A2
geheim	Mijn collega vertelde me iets geheims over de nieuwe afdeling.	тайный, секретный	Мой коллега рассказал мне кое-что секретное о новом отделе.	opmaat::thema9::woordenlijst::A2
geïnteresseerd	Ik ben geïnteresseerd in een opleiding tot ICT-specialist.	заинтересованный	Я заинтересован в обучении на IT-специалиста.	opmaat::thema9::woordenlijst::A2
gemakkelijk	Het is niet gemakkelijk om een rustige woning te vinden in Amsterdam.	лёгкий, простой	Нелегко найти тихое жильё в Амстердаме.	opmaat::thema9::woordenlijst::A2
de gemeente	De gemeente organiseert elk jaar een concert in het park.	муниципалитет, община	Муниципалитет каждый год организует концерт в парке.	opmaat::thema9::woordenlijst::A2
de geschiedenis	Ze studeert geschiedenis en wil later journalist worden.	история	Она изучает историю и хочет потом стать журналистом.	opmaat::thema9::woordenlijst::A2
geschikt	Deze kandidaat is heel geschikt voor de baan, hij is betrouwbaar en creatief.	подходящий	Этот кандидат очень подходит для работы, он надёжный и креативный.	opmaat::thema9::woordenlijst::A2
Grieks	In het restaurant om de hoek serveren ze heerlijk Grieks eten.	греческий	В ресторане на углу подают прекрасную греческую еду.	opmaat::thema9::woordenlijst::A2
gym	Na mijn werkdag ga ik vaak naar de gym om te sporten.	спортзал (разг.)	После рабочего дня я часто хожу в спортзал заниматься спортом.	opmaat::thema9::woordenlijst::A2
de gymnastiek	Mijn dochter heeft drie keer per week gymnastiek op school.	гимнастика	У моей дочери три раза в неделю гимнастика в школе.	opmaat::thema9::woordenlijst::A2
de handvaardigheid	Bij handvaardigheid leren kinderen werken met hout en papier.	ручной труд (школьный предмет)	На уроках ручного труда дети учатся работать с деревом и бумагой.	opmaat::thema9::woordenlijst::A2
