#separator:tab
#html:true
#columns:Word	Example	Translation	TranslationExample	Tags
#tags column:5
ik	Ik begin vandaag om negen uur.	я	Я начинаю сегодня в девять часов.	werk::daily::A2
is	De vergadering is om drie uur.	есть, является (3-е лицо ед.ч. от zijn)	Совещание в три часа.	werk::daily::A2
dat	Dat klopt, ik heb het al gedaan.	это, то	Верно, я уже это сделал.	werk::daily::A2
het	Het rapport is bijna klaar.	оно, это (артикль ср. рода)	Отчёт почти готов.	werk::daily::A2
de	De trein naar Amsterdam vertrekt om acht uur.	определённый артикль	Поезд до Амстердама отправляется в восемь.	werk::daily::A2
en	Ik lees de mail en schrijf een antwoord.	и	Я читаю письмо и пишу ответ.	werk::daily::A2
niet	Ik ben vandaag niet op kantoor.	не	Я сегодня не в офисе.	werk::daily::A2
een	We hebben een nieuw project gekregen.	один, некий (неопр. артикль)	Мы получили новый проект.	werk::daily::A2
even	Ik kijk even naar je bericht.	быстро, на минутку	Я быстро гляну на твоё сообщение.	werk::daily::A2
dan	Als je klaar bent, bel me dan.	тогда, потом	Когда закончишь, позвони мне тогда.	werk::daily::A2
met	Ik overleg met mijn teamgenoot.	с, вместе с	Я советуюсь с коллегой по команде.	werk::daily::A2
we	We bespreken dat in de pauze.	мы	Мы обсудим это в перерыве.	werk::daily::A2
wel	Het is wel belangrijk om dat op tijd te doen.	ведь, всё-таки, действительно	Всё-таки важно сделать это вовремя.	werk::daily::A2
nog	Heb je nog vragen over dit onderwerp?	ещё	У тебя ещё есть вопросы по этой теме?	werk::daily::A2
daar	Het kantoor? Daar werk ik elke dag.	там, вот	Офис? Там я работаю каждый день.	werk::daily::A2
dus	De klant belt niet terug, dus ik stuur een mail.	значит, итак, поэтому	Клиент не перезванивает, поэтому я отправлю письмо.	werk::daily::A2
te	Het is handig om een lijst te maken.	чтобы (инфинитивная частица)	Полезно составить список.	werk::daily::A2
van	Dit is de laptop van mijn collega.	от, из (принадлежность)	Это ноутбук моего коллеги.	werk::daily::A2
ook	Jan houdt ook van fietsen naar het werk.	тоже, также	Ян тоже любит ездить на работу на велосипеде.	werk::daily::A2
nu	Ik heb nu even geen tijd, sorry.	сейчас, теперь	У меня сейчас нет времени, извини.	werk::daily::A2
want	Ik neem een paraplu mee, want het regent.	потому что, ведь	Я беру зонт с собой, потому что идёт дождь.	werk::daily::A2
maar	Het was druk, maar we zijn klaar.	но, однако	Было напряжённо, но мы справились.	werk::daily::A2
zo	Ik ben zo terug, even koffie halen.	так, настолько / сейчас	Я сейчас вернусь, быстро за кофе.	werk::daily::A2
voor	Dit taakje is voor jou.	для, за	Эта задачка для тебя.	werk::daily::A2
heb	Ik heb het verslag al gelezen.	имею (1-е лицо от hebben)	Я уже прочитал отчёт.	werk::daily::A2
kijken	Laat mij kijken wat er aan de hand is.	смотреть, посмотреть	Дай мне посмотреть, что происходит.	werk::daily::A2
ga	Ik ga morgen naar een cursus Nederlands.	иду, еду (1-е лицо от gaan)	Я завтра иду на курсы нидерландского.	werk::daily::A2
dit	Dit probleem moet vandaag opgelost worden.	это, этот (ср. род)	Эту проблему нужно решить сегодня.	werk::daily::A2
zijn	De bestanden zijn al naar de klant gestuurd.	быть, являться	Файлы уже отправлены клиенту.	werk::daily::A2
heeft	Zij heeft het contract al ondertekend.	имеет (3-е лицо от hebben)	Она уже подписала контракт.	werk::daily::A2
wat	Wat vind je van het nieuwe plan?	что, какой	Что ты думаешь о новом плане?	werk::daily::A2
moet	De presentatie moet voor vrijdag af zijn.	должен, обязан (от moeten)	Презентация должна быть готова к пятнице.	werk::daily::A2
nee	Nee, die taak is niet van mij.	нет	Нет, та задача не моя.	werk::daily::A2
op	Het bestand staat op de gedeelde schijf.	на (предлог)	Файл лежит на общем диске.	werk::daily::A2
om	De pauze begint om twaalf uur.	в (время), чтобы, вокруг	Перерыв начинается в двенадцать.	werk::daily::A2
naar	Ik loop naar de vergaderzaal op de tweede verdieping.	к, в направлении	Я иду в переговорную на втором этаже.	werk::daily::A2
over	Heb je het artikel over de nieuwe regels gelezen?	о, про, через	Ты читал статью о новых правилах?	werk::daily::A2
goed	Het gaat goed met het project.	хорошо, правильно	С проектом всё хорошо.	werk::daily::A2
geen	Er zijn geen problemen met de bestelling.	никакой, нет (отрицание перед сущ.)	С заказом нет никаких проблем.	werk::daily::A2
kunnen	Kunnen we dat overleg verplaatsen naar donderdag?	мочь, уметь	Можем ли мы перенести совещание на четверг?	werk::daily::A2
mij	Stuur het bestand naar mij als het klaar is.	мне, меня	Отправь мне файл, когда будет готов.	werk::daily::A2
aan	Ik werk aan een nieuw voorstel.	на, к (приставка/предлог)	Я работаю над новым предложением.	werk::daily::A2
je	Als je wilt, kan ik je helpen.	ты, тебе (неформ.)	Если хочешь, я могу тебе помочь.	werk::daily::A2
doen	Ik doe dat na de lunch.	делать	Я сделаю это после обеда.	werk::daily::A2
bij	De printer staat bij het raam.	у, при, около	Принтер стоит у окна.	werk::daily::A2
deze	Deze week heb ik veel afspraken.	этот, эта, эти	На этой неделе у меня много встреч.	werk::daily::A2
natuurlijk	Natuurlijk mag je vroeger naar huis.	конечно, разумеется	Конечно, можешь уйти домой пораньше.	werk::daily::A2
hebben	We hebben genoeg tijd om alles af te maken.	иметь (мн. число / инфинитив)	У нас достаточно времени, чтобы всё доделать.	werk::daily::A2
kan	Kan iemand mij helpen met deze vraag?	может (от kunnen)	Кто-нибудь может помочь мне с этим вопросом?	werk::daily::A2
meteen	Ik ga het meteen regelen.	сразу, тут же	Я сразу этим займусь.	werk::daily::A2
gaan	Hoe gaan we dit aanpakken?	идти, ходить	Как мы будем это решать?	werk::daily::A2
hoe	Hoe lang duurt de rit naar kantoor?	как	Сколько длится поездка до офиса?	werk::daily::A2
weer	We moeten dat weer opnieuw bekijken.	снова, опять	Нам нужно снова это пересмотреть.	werk::daily::A2
dingen	Er zijn een paar dingen die ik wil bespreken.	вещи, дела	Есть несколько вещей, которые я хочу обсудить.	werk::daily::A2
verder	Laten we verder gaan met het volgende punt.	дальше, далее	Давайте перейдём к следующему пункту.	werk::daily::A2
zou	Zou je mij de notulen kunnen sturen?	бы (условное наклонение, от zullen)	Ты мог бы отправить мне протокол?	werk::daily::A2
werken	Ik werk op maandag en dinsdag vanuit huis.	работать	Я работаю из дома по понедельникам и вторникам.	werk::daily::A2
samen	Samen lukt het beter dan alleen.	вместе	Вместе получается лучше, чем в одиночку.	werk::daily::A2
oké	Oké, helder. Dan regel ik dat vanmiddag.	ладно, хорошо	Ладно, ясно. Тогда я это улажу после обеда.	werk::daily::A2
of	Weet je al of de review klaar is?	или, ли	Ты уже знаешь, готово ли ревью?	werk::daily::A2
anders	Zullen we dat anders vanmiddag bespreken?	иначе, в таком случае лучше	Может, лучше обсудим это после обеда?	werk::daily::A2
twee	Er zijn twee sprints nodig om dat af te maken.	два	Нужно два спринта, чтобы это доделать.	werk::daily::A2
volgens	Volgens mij is het al gefixt.	по (мнению), согласно	По-моему, это уже исправлено.	werk::daily::A2
zal	Ik zal Kennet alvast even opwarmen voor die call.	буду (от zullen)	Я пока предупрежу Кеннета насчёт того звонка.	werk::daily::A2
had	Ik had wat feedback gegeven op het ontwerp.	имел (прошедшее от hebben)	Я давал обратную связь по дизайну.	werk::daily::A2
de week	Je had er nog eentje openstaan van vorige week.	неделя	У тебя ещё один оставался с прошлой недели.	werk::daily::A2
worden	De registratie moet een beetje aangepast worden.	становиться, быть (пассив)	Регистрацию нужно немного подправить.	werk::daily::A2
gewoon	Het is gewoon weer een nieuwe taak op het bord.	просто, обычный	Это просто снова новая задача на доске.	werk::daily::A2
denken	Ik denk dat het handig is om dat even samen te doen.	думать	Думаю, было бы полезно это быстро вместе сделать.	werk::daily::A2
ander	Moet ik het op een ander scherm delen?	другой	Мне показать на другом экране?	werk::daily::A2
