#separator:tab
#html:true
#columns:Front	Back	Tags
#tags column:3

Я взял свой рюкзак.<br><span style="color:#888;font-size:0.8em">(voltooide tijd)</span>	Ik heb m'n rugzak <b>gepakt</b>.<br><span style="color:#888;font-size:0.85em">→ hebben + ge-…-t (’t kofschip: k → t)</span>	link::thema12::grammatica::voltooide_tijd::A2
Он покрасил класс.<br><span style="color:#888;font-size:0.8em">(voltooide tijd)</span>	Hij heeft het lokaal <b>geverfd</b>.<br><span style="color:#888;font-size:0.85em">→ ge-…-d (verven → -d, niet -t!)</span>	link::thema12::grammatica::voltooide_tijd::A2
Мы организовали спортивный день.<br><span style="color:#888;font-size:0.8em">(voltooide tijd, wij)</span>	We hebben de sportdag <b>georganiseerd</b>.<br><span style="color:#888;font-size:0.85em">→ -eren-ww: ge + …eer + d, geen extra ge bij organiseren</span>	link::thema12::grammatica::voltooide_tijd::A2
Ты почитал детям вслух?<br><span style="color:#888;font-size:0.8em">(voltooide tijd, vraag)</span>	Heb je de kinderen <b>voorgelezen</b>?<br><span style="color:#888;font-size:0.85em">→ scheidbaar ww: voor-<b>ge</b>-lezen · inversie: heb je (geen -t)</span>	link::thema12::grammatica::voltooide_tijd::A2
Я записал детей на экскурсию.<br><span style="color:#888;font-size:0.8em">(voltooide tijd)</span>	Ik heb de kinderen <b>opgegeven</b> voor het uitstapje.<br><span style="color:#888;font-size:0.85em">→ scheidbaar + sterk ww: op-<b>ge</b>-geven</span>	link::thema12::grammatica::voltooide_tijd::A2
Дети вчера смастерили скворечник.<br><span style="color:#888;font-size:0.8em">(voltooide tijd, meervoud)</span>	De kinderen hebben gisteren een vogelhuisje <b>getimmerd</b>.<br><span style="color:#888;font-size:0.85em">→ hebben (meervoud) + ge-…-d</span>	link::thema12::grammatica::voltooide_tijd::A2
Он сегодня угощал в классе.<br><span style="color:#888;font-size:0.8em">(voltooide tijd, hij)</span>	Hij heeft vandaag in de klas <b>getrakteerd</b>.<br><span style="color:#888;font-size:0.85em">→ heeft (hij) + ge-…-d</span>	link::thema12::grammatica::voltooide_tijd::A2
У него тяжёлый рюкзак.<br><span style="color:#888;font-size:0.8em">(bijvoeglijk nw)</span>	Hij heeft een <b>zware</b> rugzak.<br><span style="color:#888;font-size:0.85em">→ de-woord → altijd -e</span>	link::thema12::grammatica::bijvoeglijk_nw::A2
Ей нужен новый пенал.<br><span style="color:#888;font-size:0.8em">(bijvoeglijk nw)</span>	Ze heeft een <b>nieuw</b> etui nodig.<br><span style="color:#888;font-size:0.85em">→ een + het-woord → géén -e!</span>	link::thema12::grammatica::bijvoeglijk_nw::A2
Новый пенал лежит в рюкзаке.<br><span style="color:#888;font-size:0.8em">(bijvoeglijk nw)</span>	Het <b>nieuwe</b> etui zit in de rugzak.<br><span style="color:#888;font-size:0.85em">→ het + bepaald (het) → wél -e (vergelijk: een nieuw etui)</span>	link::thema12::grammatica::bijvoeglijk_nw::A2
Это было большое прощание.<br><span style="color:#888;font-size:0.8em">(bijvoeglijk nw)</span>	Het was een <b>groot</b> afscheid.<br><span style="color:#888;font-size:0.85em">→ een + het-woord → géén -e</span>	link::thema12::grammatica::bijvoeglijk_nw::A2
Они ищут нового директора.<br><span style="color:#888;font-size:0.8em">(bijvoeglijk nw)</span>	Ze zoeken een <b>nieuwe</b> directeur.<br><span style="color:#888;font-size:0.85em">→ de-woord → -e</span>	link::thema12::grammatica::bijvoeglijk_nw::A2
Дети сделали красивые открытки.<br><span style="color:#888;font-size:0.8em">(bijvoeglijk nw, meervoud)</span>	De kinderen hebben <b>mooie</b> kaartjes gemaakt.<br><span style="color:#888;font-size:0.85em">→ meervoud → altijd -e</span>	link::thema12::grammatica::bijvoeglijk_nw::A2
de nek → ?<br><span style="color:#888;font-size:0.8em">(meervoud — шея)</span>	de <b>nekken</b><br><span style="color:#888;font-size:0.85em">→ korte klinker: medeklinker verdubbelen</span>	link::thema12::grammatica::spelling::A2
de rugzak → ?<br><span style="color:#888;font-size:0.8em">(meervoud — рюкзак)</span>	de <b>rugzakken</b><br><span style="color:#888;font-size:0.85em">→ korte klinker (zak): medeklinker verdubbelen</span>	link::thema12::grammatica::spelling::A2
het haar → ?<br><span style="color:#888;font-size:0.8em">(meervoud — волос)</span>	de <b>haren</b><br><span style="color:#888;font-size:0.85em">→ lange klinker (aa): in open lettergreep één klinker</span>	link::thema12::grammatica::spelling::A2
de keel → ?<br><span style="color:#888;font-size:0.8em">(meervoud — горло)</span>	de <b>kelen</b><br><span style="color:#888;font-size:0.85em">→ lange klinker (ee): in open lettergreep één klinker</span>	link::thema12::grammatica::spelling::A2
de man → ?<br><span style="color:#888;font-size:0.8em">(meervoud — мужчина)</span>	de <b>mannen</b><br><span style="color:#888;font-size:0.85em">→ korte klinker: medeklinker verdubbelen</span>	link::thema12::grammatica::spelling::A2
de boom → ?<br><span style="color:#888;font-size:0.8em">(meervoud — дерево)</span>	de <b>bomen</b><br><span style="color:#888;font-size:0.85em">→ lange klinker (oo): in open lettergreep één klinker</span>	link::thema12::grammatica::spelling::A2
Во сколько начинается школа?<br><span style="color:#888;font-size:0.8em">(vraagzin)</span>	<b>Hoe laat</b> begint de school?<br><span style="color:#888;font-size:0.85em">→ vraagwoord + werkwoord + onderwerp</span>	link::thema12::grammatica::vraagzin::A2
Где ты забираешь детей?<br><span style="color:#888;font-size:0.8em">(vraagzin)</span>	<b>Waar</b> haal je de kinderen <b>op</b>?<br><span style="color:#888;font-size:0.85em">→ vraagwoord + ww + ond · scheidbaar: op aan 't eind</span>	link::thema12::grammatica::vraagzin::A2
Когда он возвращается?<br><span style="color:#888;font-size:0.8em">(vraagzin)</span>	<b>Wanneer</b> komt hij <b>terug</b>?<br><span style="color:#888;font-size:0.85em">→ vraagwoord + ww + ond · terug aan 't eind</span>	link::thema12::grammatica::vraagzin::A2
Почему она сегодня остаётся дома?<br><span style="color:#888;font-size:0.8em">(vraagzin)</span>	<b>Waarom</b> blijft ze vandaag thuis?<br><span style="color:#888;font-size:0.85em">→ vraagwoord + werkwoord + onderwerp</span>	link::thema12::grammatica::vraagzin::A2
Что ты дал ребёнку с собой?<br><span style="color:#888;font-size:0.8em">(vraagzin + voltooide tijd)</span>	<b>Wat</b> heb je je kind <b>meegegeven</b>?<br><span style="color:#888;font-size:0.85em">→ vraagwoord + hulpww + ond · voltooid deelwoord aan 't eind</span>	link::thema12::grammatica::vraagzin::A2
Как зовут нового учителя?<br><span style="color:#888;font-size:0.8em">(vraagzin)</span>	<b>Hoe</b> heet de nieuwe leerkracht?<br><span style="color:#888;font-size:0.85em">→ vraagwoord + werkwoord + onderwerp (nieuwe: de-woord → -e)</span>	link::thema12::grammatica::vraagzin::A2
