#separator:tab
#html:true
#notetype:Frequentie NL
#deck:Frequentie::Kern
#columns:Word	Rank	Example	Translation	TranslationExample	Audio	Tags
#tags column:7
betreffen	823	Deze mail betreft je vakantie in juli.	касаться, относиться к (офиц.)	Это письмо касается твоего отпуска в июле.	[sound:freq_betreffen.mp3]	frequentie::kern::partij03 frequentie::kern::dag06
verbinden	845	Deze trein verbindt Utrecht met Zwolle.	соединять, связывать	Этот поезд соединяет Утрехт со Зволле.	[sound:freq_verbinden.mp3]	frequentie::kern::partij03 frequentie::kern::dag06
eindigen	851	De meeting eindigt gewoon om vier uur.	заканчиваться	Встреча заканчивается просто в четыре.	[sound:freq_eindigen.mp3]	frequentie::kern::partij03 frequentie::kern::dag06
herkennen	864	Ik herken je bijna niet met die bril!	узнавать (кого-то, что-то)	Я тебя почти не узнаю в этих очках!	[sound:freq_herkennen.mp3]	frequentie::kern::partij03 frequentie::kern::dag06
bevestigen	879	De tandarts bevestigt de afspraak per sms.	подтверждать	Стоматолог подтверждает запись по смс.	[sound:freq_bevestigen.mp3]	frequentie::kern::partij03 frequentie::kern::dag06
bezitten	882	Mijn buurman bezit drie fietsen, maar geen auto.	владеть, иметь (в собственности)	У моего соседа три велосипеда, но нет машины.	[sound:freq_bezitten.mp3]	frequentie::kern::partij03 frequentie::kern::dag06
verschijnen	895	Je naam verschijnt nu op het scherm.	появляться	Твоё имя сейчас появляется на экране.	[sound:freq_verschijnen.mp3]	frequentie::kern::partij03 frequentie::kern::dag06
ontwikkelen	912	Ons team ontwikkelt een nieuwe app.	разрабатывать, развивать	Наша команда разрабатывает новое приложение.	[sound:freq_ontwikkelen.mp3]	frequentie::kern::partij03 frequentie::kern::dag06
waarschuwen	915	Mijn collega waarschuwt me: de koffie is echt heet.	предупреждать	Коллега меня предупреждает: кофе правда горячий.	[sound:freq_waarschuwen.mp3]	frequentie::kern::partij03 frequentie::kern::dag06
ontstaan	916	Er ontstaat een file op de A1.	возникать, появляться	На A1 возникает пробка.	[sound:freq_ontstaan.mp3]	frequentie::kern::partij03 frequentie::kern::dag06
